Bag_Name,Personality_Type,Personality_Description,Product_Link,Question,Option_1,Option_1_Personality,Option_2,Option_2_Personality,Option_3,Option_3_Personality,Option_4,Option_4_Personality
Zip Around Travel Organizer - 668,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/art-butterfly-heaven/products/leather-zip-around-travel-organizer-668-bth,Which element resonates with your soul?,Air,Flutter Charm,Light,Winged Serenity,Movement,Color Mirage,Growth,Tropical Breeze
Medium Zip-Around Eyeglass/Cosmetic Pouch - 1163,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/art-butterfly-heaven/products/leather-zip-around-small-cosmetic-pouch-1163-bth,"If you had wings, how would you use them?",To glide peacefully above nature,Celestial Wings,To explore galaxies beyond Earth,Tropical Breeze,To dance among flowers in freedom,Flutter Charm,To transform and start anew,Retro Muse
Fabric with Leather Trim Multi Compartment Satchel - 12014,Boho Spirit,"Free-spirited and stylish, with bohemian charm.",https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-multi-compartment-satchel-12014-bth-rby,Which wild animal do you relate to most?,Leopard,Retro Muse,Lion,Wilderness Whisper,Deer,Celestial Wings,Wolf,Paisley Muse
Fabric with Leather Trim Zip Top City Tote - 12005,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-zip-top-city-totes-12005-bth-rby,Which art style inspires you most?,Colorful splashes,City Lights,Intricate mosaics,Mystic Mosaic,Bohemian patterns,Ocean Mist,Elegant paisleys,Winged Serenity
Fabric with Leather Trim Toiletry Case - 13001,Boho Spirit,"Free-spirited and stylish, with bohemian charm.",https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-toiletry-case-13001-bth-rby,Your dream vacation spot is:,A tropical island 🏝️,Metamorph Muse,Caribbean beaches 🏖️,Earth Song,A quiet ocean cliff 🌊,Leopard Luxe,A deep forest retreat 🌿,Ocean Mist
Fabric with Leather Trim Large Sling Hobo - 12010,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-large-sling-hobo-12010-bth-rby,Pick a season you love most:,Spring 🌸,Enchanted Rose,Summer 🌞,Retro Muse,Autumn 🍂,Boho Spirit,Winter ❄️,Celestial Wings
Fabric with Leather Trim Travel Jewelry Organizer - 13003,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-travel-jewelry-organizer-13003-bth-rby,Which bag style attracts you most?,Sleek and modern,Roaring Majesty,Antique leather satchel,Sacred Elephant,Funky retro prints,Metamorph Muse,Edgy futuristic designs,Tropical Breeze
Fabric with Leather Trim Crossbody with Slip Pocket - 12017,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-crossbody-with-slip-pocket-12017-bth-rby,What’s your go-to mood on weekends?,Relaxing with nature,Ethereal Bloom,Partying in the city,Paisley Muse,Exploring something new,Angel Aura,Staying cozy at home,Sacred Elephant
Fabric with Leather Trim East/West Hobo - 12013,Winged Serenity,"Light and free, fluttering with calm energy.",https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-east-west-hobo-12013-bth-rby,What type of adventure excites you most?,A jungle safari 🐆,Wilderness Whisper,Climbing a mountain 🏔️,Savannah Spirit,Exploring an enchanted forest 🌲,Winged Serenity,Leading an expedition 🦁,Tropical Breeze
Fabric with Leather Trim Cell Phone Crossbody Wallet - 13005,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-cell-phone-crossbody-wallet-13005-bth-rby,Your favorite city vibe is:,Futuristic and visionary,Crimson Blossom,Classic old,Dreamscape Urbanite,Trendy and nostalgic,Earth Song,Modern city nightlife,Gentle Guardian
Fabric with Leather Trim Three-Fold RFID Wallet - 13007,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-three-fold-rfid-wallet-13007-bth-rby,Which scenery feels most calming to you?,A blooming spring garden 🌷,Leopard Luxe,A field of wild roses under sunset 🌹,Ocean Mist,A misty meadow with dew,Angel Aura,A vintage botanical greenhouse 🌼,Dreamscape Urbanite
Fabric with Leather Trim Wristlet Travel Wallet - 13000,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-wristlet-travel-wallet-13000-bth-rby,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Flutter Charm,An elephant with a lotus 🐘,Celestial Wings,A guardian dog 🐕,Camellia Grace,A mystical owl 🦉,Camellia Grace
Fabric with Leather Trim Dome Cosmetic Bag - 13002,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-dome-cosmetic-bag-13002-bth-rby,"If you had wings, how would you use them?",To glide peacefully above nature,City Lights,To explore galaxies beyond Earth,Winged Serenity,To dance among flowers in freedom,Boho Spirit,To transform and start anew,Vintage Charm
Fabric with Leather Trim Zip Travel Pouch - 13008,Boho Spirit,"Free-spirited and stylish, with bohemian charm.",https://anuschkaleather.in/collections/butterfly-heaven-ruby/products/fabric-hand-painted-fabric-zip-travel-pouch-13008-bth-rby,Which art style inspires you most?,Colorful splashes,Boho Spirit,Intricate mosaics,Flutter Charm,Bohemian patterns,Dreamscape Urbanite,Elegant paisleys,Caribbean Dreamer
Accordion Flap Wallet - 1174,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/butterfly-melody/products/leather-accordion-flap-wallet-1174-bml,"If you had wings, how would you use them?",To glide peacefully above nature,Wilderness Whisper,To explore galaxies beyond Earth,Earth Song,To dance among flowers in freedom,Wolf Moon,To transform and start anew,Caribbean Dreamer
Small Convertible Hobo - 701,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/butterfly-melody/products/leather-hand-painted-small-convertible-hobo-701-bml,Which wild animal do you relate to most?,Leopard,Wilderness Whisper,Lion,Metamorph Muse,Deer,Tropical Breeze,Wolf,Roaring Majesty
Painted Leather Bag Charm K0005 - Keycharms,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/butterfly-melody/products/hand-painted-leather-bag-charm-k0005-bml,"If your personality was a painting, it would be:",Bold and expressive abstract,Wilderness Whisper,Geometric and structured mosaic,Retro Muse,Free,Camellia Grace,Delicate and detailed paisley,Metamorph Muse
Credit Card Case - 1032,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/butterfly-melody/products/leather-credit-card-case-1032-bml,What color palette do you prefer for accessories?,Aqua blues and sea greens,Roaring Majesty,Bright island colors,Retro Muse,Soft sandy tones,Caribbean Dreamer,Earthy browns and greens,Retro Muse
Airpod Pro Case - 1179,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/butterfly-melody/products/leather-airpod-pro-case-1179-bml,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Leopard Luxe,Bold and fiery rose prints,Retro Muse,Soft watercolor blossoms,Wolf Moon,Dark romantic florals,Caribbean Dreamer
Painted Leather Bag Charm K0007 - Keycharms,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/butterfly-melody/products/hand-painted-leather-bag-charm-k0007-bml,Your favorite city vibe is:,Futuristic and visionary,Crimson Blossom,Classic old,Celestial Wings,Trendy and nostalgic,Crimson Blossom,Modern city nightlife,Leopard Luxe
Medium Frame Crossbody - 700,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/butterfly-melody/products/leather-medium-frame-crossbody-700-bml,What type of adventure excites you most?,A jungle safari 🐆,Winged Serenity,Climbing a mountain 🏔️,Roaring Majesty,Exploring an enchanted forest 🌲,Dreamscape Urbanite,Leading an expedition 🦁,Dreamscape Urbanite
Medium Zip-Around Eyeglass/Cosmetic Pouch - 1163,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/butterfly-melody/products/leather-medium-zip-around-eyeglass-cosmetic-pouch-1163-bml,Which wild animal do you relate to most?,Leopard,Tropical Breeze,Lion,Ethereal Bloom,Deer,Tropical Breeze,Wolf,Boho Spirit
Medium Tote - 693,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/butterfly-melody/products/leather-hand-painted-medium-tote-693-bml,What type of adventure excites you most?,A jungle safari 🐆,Metamorph Muse,Climbing a mountain 🏔️,Celestial Wings,Exploring an enchanted forest 🌲,Camellia Grace,Leading an expedition 🦁,Tropical Breeze
Medium Zip Pouch - 1107,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/butterfly-melody/products/leather-medium-zip-pouch-1107-bml,"If your personality was a painting, it would be:",Bold and expressive abstract,Ocean Mist,Geometric and structured mosaic,Savannah Spirit,Free,Wolf Moon,Delicate and detailed paisley,City Lights
Card Holder with Wristlet - 1180,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/butterfly-melody/products/leather-card-holder-with-wristlet-1180-bml,Which wild animal do you relate to most?,Leopard,Camellia Grace,Lion,Color Mirage,Deer,City Lights,Wolf,Paisley Muse
Organizer Wallet Crossbody - 1149,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/butterfly-melody/products/leather-organizer-wallet-crossbody-1149-bml,Which element resonates with your soul?,Air,Winged Serenity,Light,Vintage Charm,Movement,Celestial Wings,Growth,Paisley Muse
Zip Around Classic Satchel - 625,Enchanted Rose,Romantic and magical with a vintage touch.,https://anuschkaleather.in/collections/butterfly-melody/products/leather-zip-around-classic-satchel-625-bml,"If you had wings, how would you use them?",To glide peacefully above nature,Leopard Luxe,To explore galaxies beyond Earth,Boho Spirit,To dance among flowers in freedom,Ethereal Bloom,To transform and start anew,Color Mirage
Wooden Printed Cutting Board - 25002,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/butterfly-melody/products/wooden-printed-cutting-board-25002-bml,Which bag style attracts you most?,Sleek and modern,Roaring Majesty,Antique leather satchel,Tropical Breeze,Funky retro prints,Tropical Breeze,Edgy futuristic designs,Ethereal Bloom
Wooden Printed Bowl - 25003,Boho Spirit,"Free-spirited and stylish, with bohemian charm.",https://anuschkaleather.in/collections/butterfly-melody/products/bowl-25003-bml,Which scenery feels most calming to you?,A blooming spring garden 🌷,Paisley Muse,A field of wild roses under sunset 🌹,City Lights,A misty meadow with dew,City Lights,A vintage botanical greenhouse 🌼,Color Mirage
Pajama Set - 3344,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/butterfly-melody/products/pajama-set-loungewear-3344-bml,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Paisley Muse,Bold and fiery rose prints,Ethereal Bloom,Soft watercolor blossoms,Gentle Guardian,Dark romantic florals,Boho Spirit
Slip Dress - 3346,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/butterfly-melody/products/slip-dress-loungewear-3346-bml,What type of adventure excites you most?,A jungle safari 🐆,Angel Aura,Climbing a mountain 🏔️,Vintage Charm,Exploring an enchanted forest 🌲,Winged Serenity,Leading an expedition 🦁,Caribbean Dreamer
Robe - 3343,Enchanted Rose,Romantic and magical with a vintage touch.,https://anuschkaleather.in/collections/butterfly-melody/products/robe-loungewear-3343-bml,What type of adventure excites you most?,A jungle safari 🐆,Caribbean Dreamer,Climbing a mountain 🏔️,Mystic Mosaic,Exploring an enchanted forest 🌲,Crimson Blossom,Leading an expedition 🦁,Paisley Muse
Mini Double Zip Travel Crossbody - 448,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/butterfly-melody/products/leather-hand-painted-mini-double-zip-travel-crossbody-448-bml,What’s your go-to mood on weekends?,Relaxing with nature,Wilderness Whisper,Partying in the city,Color Mirage,Exploring something new,Metamorph Muse,Staying cozy at home,Tropical Breeze
Painted Leather Cuff - 1176,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/butterfly-melody/products/leather-adjustable-leather-wrist-band-1176-bml,Your dream vacation spot is:,A tropical island 🏝️,Playful Paws,Caribbean beaches 🏖️,Earth Song,A quiet ocean cliff 🌊,Tropical Breeze,A deep forest retreat 🌿,Mystic Mosaic
Accordion Style Credit And Business Card Holder - 1110,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/butterfly-melody/products/leather-accordion-style-credit-and-business-card-holder-1110-bml,Pick a season you love most:,Spring 🌸,Boho Spirit,Summer 🌞,Camellia Grace,Autumn 🍂,Savannah Spirit,Winter ❄️,Angel Aura
Small Multi Compartment Zip - Around Organizer - 8109,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/butterfly-mosaic-black/products/small-multi-compartment-zip-around-organizer-8109-bmc-blk,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Petal Muse,An elephant with a lotus 🐘,Boho Spirit,A guardian dog 🐕,Savannah Spirit,A mystical owl 🦉,Flutter Charm
Large Satchel - 8591,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/butterfly-mosaic-black/products/large-satchel-8591-bmc-blk,Which wild animal do you relate to most?,Leopard,Caribbean Dreamer,Lion,Retro Muse,Deer,Metamorph Muse,Wolf,Tropical Breeze
Large Tote - 8538,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/butterfly-mosaic-black/products/large-tote-8538-bmc-blk,What quality do you value most?,Protection and care,Tropical Breeze,Wisdom and calmness,Wilderness Whisper,Playfulness and joy,Crimson Blossom,Strength with compassion,Wilderness Whisper
